Exercise,Sets,Reps,Weight,,Speed,Distance,Distance Unit,Duration,Duration Unit,Calories,Rest,Notes,
Pallof Press,3,10,,,,,,,sec,,,each side,
,,,,,,,,,,,,,
=== WARMUP / MOBILITY (COMMON) ===,,,,,,,,,,,,,
Foam Roll IT Band,1,,,,,,,,60,sec,,,each side
Foam Roll Quads,1,,,,,,,,60,sec,,,each side
Foam Roll Upper Back,1,,,,,,,,60,sec,,,
Foam Roll Lats,1,,,,,,,,60,sec,,,each side
Foam Roll Glutes,1,,,,,,,,60,sec,,,each side
Lacrosse Ball Pecs,1,,,,,,,,60,sec,,,each side
Lacrosse Ball Glutes,1,,,,,,,,60,sec,,,each side
Hip CARs,1,5,,,,,,,sec,,,each direction,
Pigeon Pose,1,,,,,,,,30,sec,,,each side
Couch Stretch,1,,,,,,,,30,sec,,,each side
90/90 Hip Stretch,1,,,,,,,,30,sec,,,each side
Ankle Circles,1,10,,,,,,,sec,,,each direction,
Shoulder Dislocations,1,10,,,,,,,sec,,,,
Wall Slides,1,10,,,,,,,sec,,,,
Cat-Cow Stretch,1,10,,,,,,,sec,,,,
T-Spine Rotations,1,8,,,,,,,sec,,,each side,
Walking Knee Hugs,1,10,,,,,,,sec,,,each leg,
Walking Quad Pulls,1,10,,,,,,,sec,,,each leg,
Inchworms,1,6,,,,,,,sec,,,,
World's Greatest Stretch,1,5,,,,,,,sec,,,each side,
Jumping Jacks,1,20,,,,,,,sec,,,,
High Knees,1,20,,,,,,,sec,,,each leg,
Butt Kicks,1,20,,,,,,,sec,,,each leg,
Jump Rope,1,,,,,,,,60,sec,,,
